Depth,Temperature,Oxygen,Irradiance,Salinity
394,11.5728,4.46473,1.00E-12,35.6777
394.5,11.5657,4.45706,1.00E-12,35.6784
395,11.5566,4.45049,1.00E-12,35.6794
395.5,11.5515,4.44341,1.00E-12,35.68
396,11.5489,4.43991,1.00E-12,35.6803
396.5,11.5469,4.43455,1.00E-12,35.6805
397,11.5453,4.43001,1.00E-12,35.6807
397.5,11.544,4.42826,1.00E-12,35.6809
398,11.5432,4.42398,1.00E-12,35.6811
398.5,11.5425,4.42581,1.00E-12,35.6813
399,11.5419,4.42664,1.00E-12,35.6815
399.5,11.5416,4.4273,1.00E-12,35.6817
400,11.5413,4.42594,1.00E-12,35.682
400.5,11.5413,4.42129,1.00E-12,35.6824
401,11.5414,4.4157,1.00E-12,35.6828
401.5,11.5417,4.4152,1.00E-12,35.6833
402,11.5422,4.41899,1.00E-12,35.6838
402.5,11.5426,4.41727,1.00E-12,35.6842
403,11.5431,4.41727,1.00E-12,35.6847
403.5,11.5437,4.41784,1.00E-12,35.6853
404,11.5442,4.41567,1.00E-12,35.6859
404.5,11.5446,4.41596,1.00E-12,35.6863
405,11.5449,4.41474,1.00E-12,35.6868
405.5,11.5452,4.41704,1.00E-12,35.6872
406,11.5456,4.41328,1.00E-12,35.6876
406.5,11.5458,4.41138,1.00E-12,35.688
407,11.5462,4.40784,1.00E-12,35.6886
407.5,11.5465,4.40396,1.00E-12,35.6892
408,11.5467,4.40474,1.00E-12,35.6896
408.5,11.5468,4.40195,1.00E-12,35.69
409,11.547,4.39818,1.00E-12,35.6904
409.5,11.5473,4.40051,1.00E-12,35.6907
410,11.5475,4.40221,1.00E-12,35.6911
410.5,11.5478,4.40275,1.00E-12,35.6913
411,11.5482,4.40275,1.00E-12,35.6917
411.5,11.5485,4.40273,1.00E-12,35.6919
412,11.5485,4.40394,1.00E-12,35.6922
412.5,11.5479,4.40198,1.00E-12,35.6923
413,11.5467,4.4055,1.00E-12,35.6924
413.5,11.5444,4.40549,1.00E-12,35.6923
414,11.5412,4.40324,1.00E-12,35.6923
414.5,11.5378,4.39873,1.00E-12,35.6921
415,11.5345,4.39527,1.00E-12,35.6919
415.5,11.5317,4.39457,1.00E-12,35.6917
416,11.5292,4.38991,1.00E-12,35.6916
416.5,11.5267,4.38607,1.00E-12,35.6914
417,11.5239,4.38152,1.00E-12,35.6913
417.5,11.5204,4.37582,1.00E-12,35.6913
418,11.5166,4.36848,1.00E-12,35.6917
418.5,11.5138,4.36652,1.00E-12,35.6929
419,11.5133,4.36632,1.00E-12,35.6941
419.5,11.5133,4.3659,1.00E-12,35.6951
420,11.5133,4.36569,1.00E-12,35.6959
420.5,11.5132,4.36316,1.00E-12,35.6966
421,11.5128,4.36137,1.00E-12,35.6975
421.5,11.5122,4.35619,1.00E-12,35.6983
422,11.5115,4.35436,1.00E-12,35.699
422.5,11.5106,4.35036,1.00E-12,35.6997
423,11.5096,4.34731,1.00E-12,35.7005
423.5,11.5085,4.34343,1.00E-12,35.7015
424,11.5074,4.34003,1.00E-12,35.7028
424.5,11.5066,4.33587,1.00E-12,35.7041
425,11.506,4.33191,1.00E-12,35.7054
425.5,11.5055,4.3279,1.00E-12,35.7066
426,11.5051,4.32077,1.00E-12,35.7078
426.5,11.5047,4.3197,1.00E-12,35.7092
427,11.504,4.31597,1.00E-12,35.7108
427.5,11.5022,4.31367,1.00E-12,35.7141
428,11.4998,4.31169,1.00E-12,35.717
428.5,11.4974,4.30714,1.00E-12,35.7193
429,11.4954,4.30231,1.00E-12,35.7209
429.5,11.4933,4.29611,1.00E-12,35.7223
430,11.4916,4.28948,1.00E-12,35.7233
430.5,11.49,4.28564,1.00E-12,35.7243
431,11.4883,4.28015,1.00E-12,35.7252
431.5,11.4867,4.27548,1.00E-12,35.726
432,11.4851,4.27255,1.00E-12,35.7271
432.5,11.4835,4.26723,1.00E-12,35.7281
433,11.4816,4.26011,1.00E-12,35.7297
433.5,11.4804,4.25375,1.00E-12,35.7314
434,11.4803,4.25035,1.00E-12,35.7325
434.5,11.4807,4.24729,1.00E-12,35.7333
435,11.4812,4.24761,1.00E-12,35.7337
435.5,11.4815,4.24722,1.00E-12,35.7341
436,11.4818,4.24834,1.00E-12,35.7344
436.5,11.482,4.24679,1.00E-12,35.7346
437,11.482,4.24553,1.00E-12,35.7349
437.5,11.4819,4.24378,1.00E-12,35.7352
438,11.4817,4.24246,1.00E-12,35.7356
438.5,11.4814,4.23832,1.00E-12,35.7362
439,11.4812,4.23377,1.00E-12,35.7368
439.5,11.4811,4.2316,1.00E-12,35.7375
440,11.4809,4.23319,1.00E-12,35.7381
440.5,11.4808,4.23364,1.00E-12,35.7387
441,11.4806,4.23168,1.00E-12,35.7392
441.5,11.4804,4.23221,1.00E-12,35.7397
442,11.4802,4.22823,1.00E-12,35.7402
442.5,11.4799,4.22656,1.00E-12,35.7408
443,11.4799,4.22583,1.00E-12,35.7415
443.5,11.4799,4.22567,1.00E-12,35.7423
444,11.4802,4.2268,1.00E-12,35.7429
444.5,11.4805,4.22523,1.00E-12,35.7435
445,11.4809,4.22534,1.00E-12,35.7441
445.5,11.4815,4.22625,1.00E-12,35.7448
446,11.4822,4.2246,1.00E-12,35.7454
446.5,11.4834,4.22545,1.00E-12,35.7463
447,11.4853,4.22001,1.00E-12,35.7474
447.5,11.4875,4.21394,1.00E-12,35.7485
448,11.4895,4.20937,1.00E-12,35.7494
448.5,11.4913,4.20653,1.00E-12,35.7503
449,11.4931,4.2065,1.00E-12,35.751
449.5,11.4948,4.20687,1.00E-12,35.7518
450,11.4965,4.20397,1.00E-12,35.7528
450.5,11.4984,4.20439,1.00E-12,35.7541
451,11.5008,4.2009,1.00E-12,35.7558
451.5,11.5031,4.19644,1.00E-12,35.758
452,11.5048,4.19632,1.00E-12,35.7597
452.5,11.5064,4.19537,1.00E-12,35.7617
453,11.5078,4.19427,1.00E-12,35.7644
453.5,11.5087,4.19388,1.00E-12,35.7668
454,11.509,4.19125,1.00E-12,35.7679
454.5,11.5093,4.18818,1.00E-12,35.7688
455,11.5096,4.18654,1.00E-12,35.7695
455.5,11.5098,4.18491,1.00E-12,35.7703
456,11.51,4.18527,1.00E-12,35.771
456.5,11.5103,4.18318,1.00E-12,35.7716
457,11.5106,4.18451,1.00E-12,35.7724
457.5,11.511,4.18568,1.00E-12,35.7733
458,11.5115,4.18202,1.00E-12,35.7748
458.5,11.5119,4.17759,1.00E-12,35.7768
459,11.5123,4.17392,1.00E-12,35.7784
459.5,11.5126,4.16943,1.00E-12,35.7797
460,11.5129,4.16514,1.00E-12,35.7809
460.5,11.5133,4.16186,1.00E-12,35.7822
461,11.5136,4.16051,1.00E-12,35.7833
461.5,11.5138,4.15972,1.00E-12,35.7842
462,11.5141,4.1586,1.00E-12,35.7849
462.5,11.5142,4.15883,1.00E-12,35.7856
463,11.5144,4.15718,1.00E-12,35.7861
463.5,11.5145,4.15827,1.00E-12,35.7865
464,11.5145,4.158,1.00E-12,35.787
464.5,11.5146,4.15858,1.00E-12,35.7874
465,11.5145,4.16002,1.00E-12,35.7878
465.5,11.5145,4.15831,1.00E-12,35.788
466,11.5144,4.15731,1.00E-12,35.7881
466.5,11.5144,4.15854,1.00E-12,35.7882
467,11.5142,4.15864,1.00E-12,35.7884
467.5,11.5141,4.16031,1.00E-12,35.7886
468,11.514,4.15839,1.00E-12,35.7887
468.5,11.514,4.15795,1.00E-12,35.7887
469,11.5139,4.15689,1.00E-12,35.7888
469.5,11.5139,4.15737,1.00E-12,35.7889
470,11.5138,4.15537,1.00E-12,35.789
470.5,11.5138,4.15595,1.00E-12,35.7891
471,11.5138,4.15536,1.00E-12,35.7892
471.5,11.5137,4.15564,1.00E-12,35.7893
472,11.5137,4.15522,1.00E-12,35.7895
472.5,11.5137,4.15468,1.00E-12,35.7896
473,11.5139,4.15791,1.00E-12,35.7897
473.5,11.5143,4.16254,1.00E-12,35.7897
474,11.5144,4.16709,1.00E-12,35.7896
474.5,11.5145,4.16694,1.00E-12,35.7895
475,11.5147,4.16568,1.00E-12,35.7893
475.5,11.5148,4.15705,1.00E-12,35.7892
476,11.515,4.15099,1.00E-12,35.789
476.5,11.5152,4.14546,1.00E-12,35.7889
477,11.5154,4.14486,1.00E-12,35.7887
477.5,11.5155,4.1463,1.00E-12,35.7886
478,11.5155,4.15002,1.00E-12,35.7886
478.5,11.515,4.15884,1.00E-12,35.7894
479,11.5145,4.16354,1.00E-12,35.7897
479.5,11.5142,4.16554,1.00E-12,35.7899
480,11.5139,4.16582,1.00E-12,35.79
480.5,11.5136,4.15815,1.00E-12,35.7902
481,11.5133,4.14967,1.00E-12,35.7903
481.5,11.513,4.14275,1.00E-12,35.7904
482,11.5127,4.13897,1.00E-12,35.7906
482.5,11.5124,4.13995,1.00E-12,35.7907
483,11.5121,4.14093,1.00E-12,35.7909
483.5,11.5119,4.14406,1.00E-12,35.7911
484,11.5117,4.14495,1.00E-12,35.7915
484.5,11.5116,4.14779,1.00E-12,35.7917
485,11.5115,4.15308,1.00E-12,35.7919
485.5,11.5115,4.1531,1.00E-12,35.7919
486,11.5115,4.1555,1.00E-12,35.7919
486.5,11.5115,4.15414,1.00E-12,35.7919
487,11.5115,4.15182,1.00E-12,35.792
487.5,11.5115,4.1485,1.00E-12,35.7921
488,11.5115,4.1472,1.00E-12,35.7922
488.5,11.5115,4.14586,1.00E-12,35.7923
489,11.5115,4.14508,1.00E-12,35.7924
489.5,11.5115,4.14532,1.00E-12,35.7925
490,11.5115,4.14646,1.00E-12,35.793
490.5,11.5117,4.14597,1.00E-12,35.7939
491,11.5124,4.1456,1.00E-12,35.7952
491.5,11.5133,4.14453,1.00E-12,35.7965
492,11.5143,4.14366,1.00E-12,35.7978
492.5,11.5154,4.14442,1.00E-12,35.7992
493,11.5167,4.14563,1.00E-12,35.8007
493.5,11.5183,4.14436,1.00E-12,35.8025
494,11.5205,4.14293,1.00E-12,35.8049
494.5,11.523,4.13703,1.00E-12,35.8077
495,11.5253,4.13463,1.00E-12,35.8099
495.5,11.5272,4.12668,1.00E-12,35.8117
496,11.5293,4.12683,1.00E-12,35.8138
496.5,11.5318,4.12695,1.00E-12,35.8159
497,11.5342,4.12813,1.00E-12,35.8182
497.5,11.5366,4.126,1.00E-12,35.8207
498,11.5381,4.12163,1.00E-12,35.8227
498.5,11.5392,4.11856,1.00E-12,35.8243
499,11.54,4.11574,1.00E-12,35.8256
499.5,11.5408,4.11601,1.00E-12,35.8269
500,11.5414,4.11417,1.00E-12,35.8279
500.5,11.5419,4.10916,1.00E-12,35.829
501,11.5423,4.10284,1.00E-12,35.8299
501.5,11.5428,4.09885,1.00E-12,35.8309
502,11.5432,4.10006,1.00E-12,35.8318
502.5,11.5436,4.10016,1.00E-12,35.8329
503,11.5441,4.09756,1.00E-12,35.8344
503.5,11.5445,4.09344,1.00E-12,35.8353
504,11.5448,4.09413,1.00E-12,35.8358
504.5,11.5452,4.09512,1.00E-12,35.8365
505,11.5454,4.09418,1.00E-12,35.8369
505.5,11.5457,4.09278,1.00E-12,35.8375
506,11.546,4.0924,1.00E-12,35.8381
506.5,11.5462,4.09257,1.00E-12,35.8386
507,11.5465,4.09337,1.00E-12,35.8391
507.5,11.5466,4.09229,1.00E-12,35.8398
508,11.5468,4.09224,1.00E-12,35.8404
508.5,11.5471,4.09198,1.00E-12,35.8412
509,11.5474,4.08959,1.00E-12,35.8423
509.5,11.5475,4.08816,1.00E-12,35.8435
510,11.5473,4.09095,1.00E-12,35.8445
510.5,11.5467,4.09133,1.00E-12,35.8453
511,11.5457,4.09194,1.00E-12,35.8459
511.5,11.5446,4.08939,1.00E-12,35.8462
512,11.5436,4.08723,1.00E-12,35.8463
512.5,11.5425,4.08547,1.00E-12,35.8464
513,11.5413,4.08568,1.00E-12,35.8463
513.5,11.54,4.08423,1.00E-12,35.8463
514,11.5387,4.08181,1.00E-12,35.8462
514.5,11.5372,4.08226,1.00E-12,35.8461
515,11.5352,4.08071,1.00E-12,35.846
515.5,11.5332,4.07838,1.00E-12,35.8461
516,11.5347,4.08218,1.00E-12,35.8505
516.5,11.5368,4.08303,1.00E-12,35.8521
517,11.5385,4.08202,1.00E-12,35.8532
517.5,11.5402,4.07788,1.00E-12,35.8543
518,11.542,4.07485,1.00E-12,35.8554
518.5,11.544,4.07128,1.00E-12,35.8567
519,11.5462,4.07176,1.00E-12,35.8578
519.5,11.5482,4.06835,1.00E-12,35.8591
520,11.5507,4.06803,1.00E-12,35.8605
520.5,11.5539,4.065,1.00E-12,35.8624
521,11.558,4.06335,1.00E-12,35.8647
521.5,11.5619,4.05936,1.00E-12,35.8669
522,11.5635,4.06303,1.00E-12,35.8678
522.5,11.5648,4.06509,1.00E-12,35.8685
523,11.5659,4.06504,1.00E-12,35.8692
523.5,11.5668,4.06156,1.00E-12,35.8699
524,11.5678,4.05779,1.00E-12,35.8705
524.5,11.5685,4.0565,1.00E-12,35.8711
525,11.5694,4.05633,1.00E-12,35.8716
525.5,11.5701,4.05765,1.00E-12,35.8722
526,11.571,4.05773,1.00E-12,35.8728
526.5,11.572,4.05704,1.00E-12,35.8736
527,11.5729,4.05808,1.00E-12,35.8743
527.5,11.574,4.0588,1.00E-12,35.8752
528,11.5749,4.06141,1.00E-12,35.8759
528.5,11.5762,4.06708,1.00E-12,35.8771
529,11.5773,4.06993,1.00E-12,35.8781
529.5,11.5782,4.06953,1.00E-12,35.879
530,11.5789,4.06641,1.00E-12,35.8795
530.5,11.5795,4.06689,1.00E-12,35.88
531,11.5801,4.06487,1.00E-12,35.8805
531.5,11.5808,4.06328,1.00E-12,35.881
532,11.5816,4.06183,1.00E-12,35.8816
532.5,11.5824,4.06084,1.00E-12,35.8822
533,11.5834,4.05918,1.00E-12,35.883
533.5,11.5846,4.05593,1.00E-12,35.884
534,11.5863,4.05469,1.00E-12,35.8855
534.5,11.5881,4.05598,1.00E-12,35.8871
535,11.5892,4.05872,1.00E-12,35.8881
535.5,11.5903,4.05844,1.00E-12,35.8891
536,11.5912,4.05919,1.00E-12,35.8901
536.5,11.592,4.05876,1.00E-12,35.8908
537,11.5927,4.05675,1.00E-12,35.8915
537.5,11.5935,4.05538,1.00E-12,35.8923
538,11.5945,4.05377,1.00E-12,35.8933
538.5,11.5953,4.05069,1.00E-12,35.8941
539,11.5964,4.04739,1.00E-12,35.8951
539.5,11.5981,4.04666,1.00E-12,35.897
540,11.5999,4.04722,1.00E-12,35.8989
540.5,11.6016,4.04869,1.00E-12,35.9008
541,11.6033,4.0497,1.00E-12,35.9025
541.5,11.6049,4.04996,1.00E-12,35.9041
542,11.6061,4.04797,1.00E-12,35.9054
542.5,11.607,4.048,1.00E-12,35.9062
543,11.6078,4.04683,1.00E-12,35.9068
543.5,11.6085,4.04503,1.00E-12,35.9074
544,11.6091,4.04391,1.00E-12,35.908
544.5,11.6098,4.04441,1.00E-12,35.9086
545,11.6104,4.04593,1.00E-12,35.9092
545.5,11.6112,4.04292,1.00E-12,35.9098
546,11.6119,4.03965,1.00E-12,35.9105
546.5,11.6129,4.0345,1.00E-12,35.9113
547,11.6139,4.03467,1.00E-12,35.9124
547.5,11.6158,4.03686,1.00E-12,35.9142
548,11.6184,4.04003,1.00E-12,35.9169
548.5,11.6211,4.03891,1.00E-12,35.9196
549,11.6231,4.03888,1.00E-12,35.9216
549.5,11.6248,4.03949,1.00E-12,35.9233
550,11.6265,4.03701,1.00E-12,35.9248
550.5,11.628,4.0351,1.00E-12,35.9263
551,11.6295,4.03401,1.00E-12,35.9277
551.5,11.6312,4.03177,1.00E-12,35.9293
552,11.6329,4.03129,1.00E-12,35.9309
552.5,11.6347,4.0291,1.00E-12,35.9326
553,11.6366,4.0263,1.00E-12,35.9345
553.5,11.6381,4.02744,1.00E-12,35.936
554,11.6393,4.02919,1.00E-12,35.9371
554.5,11.64,4.02777,1.00E-12,35.9377
555,11.6404,4.02592,1.00E-12,35.9381
555.5,11.6407,4.02722,1.00E-12,35.9383
556,11.641,4.02739,1.00E-12,35.9385
556.5,11.6412,4.02765,1.00E-12,35.9387
557,11.6416,4.02518,1.00E-12,35.9389
557.5,11.6419,4.02422,1.00E-12,35.9392
558,11.6423,4.02445,1.00E-12,35.9395
558.5,11.6428,4.02305,1.00E-12,35.9399
559,11.6434,4.02434,1.00E-12,35.9404
559.5,11.6442,4.02226,1.00E-12,35.9411
560,11.6453,4.0193,1.00E-12,35.9423
560.5,11.6465,4.01708,1.00E-12,35.9436
561,11.6478,4.0193,1.00E-12,35.9449
561.5,11.649,4.02153,1.00E-12,35.9463
562,11.65,4.02418,1.00E-12,35.9473
562.5,11.6509,4.02306,1.00E-12,35.9482
563,11.6518,4.02486,1.00E-12,35.9492
563.5,11.6526,4.01906,1.00E-12,35.95
564,11.6534,4.01956,1.00E-12,35.9508
564.5,11.6541,4.01754,1.00E-12,35.9514
565,11.6549,4.01547,1.00E-12,35.9521
565.5,11.6557,4.01738,1.00E-12,35.953
566,11.6567,4.01758,1.00E-12,35.954
566.5,11.6578,4.01689,1.00E-12,35.9552
567,11.659,4.01322,1.00E-12,35.9565
567.5,11.6599,4.01092,1.00E-12,35.9575
568,11.6606,4.01066,1.00E-12,35.9582
568.5,11.661,4.0102,1.00E-12,35.9586
569,11.6615,4.01298,1.00E-12,35.9589
569.5,11.6619,4.01279,1.00E-12,35.9592
570,11.6624,4.01234,1.00E-12,35.9595
570.5,11.6628,4.01408,1.00E-12,35.9598
571,11.6633,4.01301,1.00E-12,35.96
571.5,11.6638,4.01509,1.00E-12,35.9603
572,11.6643,4.01488,1.00E-12,35.9606
572.5,11.6647,4.01446,1.00E-12,35.9607
573,11.6651,4.01218,1.00E-12,35.9609
573.5,11.6657,4.0107,1.00E-12,35.9612
574,11.6663,4.01354,1.00E-12,35.9616
574.5,11.6668,4.01281,1.00E-12,35.962
575,11.6672,4.01198,1.00E-12,35.9623
575.5,11.6675,4.01133,1.00E-12,35.9626
576,11.668,4.01344,1.00E-12,35.9631
576.5,11.6686,4.01431,1.00E-12,35.9636
577,11.669,4.01425,1.00E-12,35.9641
577.5,11.6695,4.01299,1.00E-12,35.9645
578,11.6698,4.00971,1.00E-12,35.9647
578.5,11.6701,4.00796,1.00E-12,35.965
579,11.6705,4.00475,1.00E-12,35.9652
579.5,11.6708,4.00425,1.00E-12,35.9655
580,11.6713,4.00107,1.00E-12,35.9659
580.5,11.6718,3.99987,1.00E-12,35.9665
581,11.6726,4.0017,1.00E-12,35.9673
581.5,11.6729,4.00789,1.00E-12,35.9676
582,11.6731,4.00879,1.00E-12,35.9677
582.5,11.6732,4.01044,1.00E-12,35.9677
583,11.6734,4.00568,1.00E-12,35.9677
583.5,11.6735,4.00401,1.00E-12,35.9677
584,11.6737,4.00281,1.00E-12,35.9677
584.5,11.6739,4.0009,1.00E-12,35.9678
585,11.6741,3.99928,1.00E-12,35.9678
585.5,11.6743,4.00059,1.00E-12,35.9678
586,11.6745,4.00084,1.00E-12,35.9679
586.5,11.6748,4.00071,1.00E-12,35.9683
587,11.6751,4.0009,1.00E-12,35.9685
587.5,11.6753,3.99978,1.00E-12,35.9687
588,11.6755,3.99643,1.00E-12,35.9688
588.5,11.6757,3.99618,1.00E-12,35.9689
589,11.6758,3.99506,1.00E-12,35.9689
589.5,11.676,3.99465,1.00E-12,35.9688
590,11.6765,3.99631,1.00E-12,35.9686
