Depth_m,Temperature_C,Oxygen_ml/l,Salinity_psu
0.5,16.508,5.83945,35.7685
1.0,16.5315,5.85881,35.7679
1.5,16.5183,5.88355,35.7681
2.0,16.4921,5.87417,35.7685
2.5,16.4626,5.86818,35.7688
3.0,16.4265,5.87387,35.7691
3.5,16.375,5.88675,35.7696
4.0,16.2956,5.89546,35.7705
4.5,16.2389,5.90201,35.771
5.0,16.1958,5.91179,35.7712
5.5,16.1623,5.91522,35.7712
6.0,16.1334,5.91667,35.7712
6.5,16.1058,5.91724,35.7711
7.0,16.0827,5.91745,35.7711
7.5,16.0613,5.92003,35.7709
8.0,16.0408,5.91085,35.7708
8.5,16.0208,5.89672,35.7709
9.0,15.9993,5.87769,35.7715
9.5,15.9797,5.86991,35.7726
10.0,15.9588,5.86725,35.7742
10.5,15.9363,5.85697,35.7761
11.0,15.9145,5.82633,35.7783
11.5,15.8962,5.79563,35.78
12.0,15.8778,5.77086,35.7818
12.5,15.859,5.75133,35.7836
13.0,15.8401,5.73801,35.7854
13.5,15.8201,5.72574,35.7873
14.0,15.7989,5.71469,35.7893
14.5,15.7754,5.70246,35.7915
15.0,15.7451,5.68505,35.7944
15.5,15.7124,5.66414,35.7975
16.0,15.6781,5.63962,35.8007
16.5,15.6466,5.61793,35.8035
17.0,15.6194,5.59662,35.8058
17.5,15.5913,5.57926,35.808
18.0,15.5596,5.56678,35.8105
18.5,15.5221,5.55659,35.8135
19.0,15.4793,5.53916,35.8168
19.5,15.4302,5.52086,35.8205
20.0,15.3673,5.49807,35.8252
20.5,15.3124,5.48783,35.8292
21.0,15.2565,5.4883,35.8333
21.5,15.2074,5.48973,35.837
22.0,15.1579,5.47442,35.8406
22.5,15.1052,5.44885,35.8445
23.0,15.0538,5.42077,35.8483
23.5,15.0036,5.39785,35.8523
24.0,14.9543,5.37769,35.8562
24.5,14.9067,5.35699,35.86
25.0,14.8611,5.33828,35.8638
25.5,14.8175,5.31899,35.8674
26.0,14.7676,5.30293,35.8715
26.5,14.7189,5.29014,35.8754
27.0,14.6661,5.27302,35.8797
27.5,14.5981,5.24589,35.8851
28.0,14.5347,5.22022,35.8899
28.5,14.4708,5.20118,35.8943
29.0,14.3998,5.17827,35.8989
29.5,14.3338,5.15756,35.9026
30.0,14.2662,5.1356,35.9062
30.5,14.2268,5.12185,35.9083
31.0,14.1926,5.1077,35.91
31.5,14.1639,5.09049,35.9113
32.0,14.1377,5.06958,35.9125
32.5,14.113,5.05044,35.9136
33.0,14.0895,5.04172,35.9146
33.5,14.0701,5.03927,35.9156
34.0,14.0511,5.04141,35.9167
34.5,14.0352,5.04352,35.9177
35.0,14.0219,5.0446,35.9185
35.5,14.0086,5.03991,35.9196
36.0,13.997,5.02723,35.9206
36.5,13.9908,5.02204,35.9211
37.0,13.9863,5.02048,35.9214
37.5,13.9825,5.01995,35.9217
38.0,13.9791,5.01984,35.9218
38.5,13.9754,5.02004,35.9219
39.0,13.9719,5.02496,35.922
39.5,13.9679,5.02787,35.9221
40.0,13.9638,5.0283,35.9222
40.5,13.9599,5.02575,35.9222
41.0,13.9556,5.02446,35.9223
41.5,13.9503,5.02525,35.9223
42.0,13.9437,5.02664,35.9222
42.5,13.9342,5.03187,35.9222
43.0,13.925,5.03337,35.922
43.5,13.9151,5.03341,35.9217
44.0,13.9049,5.02901,35.9214
44.5,13.8931,5.03176,35.9209
45.0,13.8804,5.03219,35.9204
45.5,13.8673,5.03153,35.9198
46.0,13.8537,5.03022,35.9191
46.5,13.8394,5.0276,35.9183
47.0,13.8216,5.02471,35.9173
47.5,13.8022,5.02292,35.9161
48.0,13.7822,5.01855,35.9146
48.5,13.7598,5.01789,35.9127
49.0,13.739,5.02083,35.9108
49.5,13.7178,5.02204,35.9087
50.0,13.6949,5.0229,35.9063
50.5,13.6702,5.02251,35.9037
51.0,13.6459,5.02391,35.901
51.5,13.6243,5.02531,35.8985
52.0,13.6055,5.02163,35.8963
52.5,13.5885,5.01755,35.8942
53.0,13.5738,5.01931,35.8924
53.5,13.5621,5.01753,35.8911
54.0,13.5526,5.01899,35.8899
54.5,13.5423,5.01842,35.8886
55.0,13.5312,5.02064,35.8873
55.5,13.521,5.01825,35.8862
56.0,13.513,5.01422,35.8854
56.5,13.5082,5.01155,35.885
57.0,13.505,5.01311,35.8847
57.5,13.5028,5.01391,35.8845
58.0,13.5009,5.01635,35.8844
58.5,13.4987,5.01972,35.8842
59.0,13.4961,5.02211,35.8841
59.5,13.493,5.02334,35.8839
60.0,13.4901,5.02052,35.8837
60.5,13.4872,5.01722,35.8834
61.0,13.4842,5.01171,35.8832
61.5,13.4811,5.0069,35.8829
62.0,13.4777,5.00533,35.8827
62.5,13.4741,5.00679,35.8823
63.0,13.4704,5.00689,35.8819
63.5,13.4659,5.00896,35.8817
64.0,13.4606,5.01009,35.8812
64.5,13.4535,5.01118,35.8807
65.0,13.4442,5.01267,35.8801
65.5,13.4329,5.01126,35.8793
66.0,13.4223,5.0097,35.8784
66.5,13.4125,5.01344,35.8774
67.0,13.4025,5.01812,35.8764
67.5,13.3933,5.01987,35.8755
68.0,13.3848,5.0193,35.8744
68.5,13.3761,5.01981,35.8735
69.0,13.3667,5.01658,35.8724
69.5,13.3581,5.01487,35.8714
70.0,13.3504,5.01344,35.8704
70.5,13.3422,5.01345,35.8693
71.0,13.334,5.01383,35.8683
71.5,13.3259,5.01277,35.8672
72.0,13.3176,5.01185,35.8661
72.5,13.3078,5.01471,35.8648
73.0,13.2962,5.01631,35.8633
73.5,13.2841,5.01899,35.8618
74.0,13.2712,5.02399,35.8601
74.5,13.262,5.02816,35.859
75.0,13.2555,5.02903,35.858
75.5,13.2499,5.02953,35.8571
76.0,13.2447,5.02929,35.8563
76.5,13.2393,5.03049,35.8554
77.0,13.2319,5.03277,35.8544
77.5,13.2239,5.03593,35.8533
78.0,13.2166,5.03774,35.8522
78.5,13.2096,5.03445,35.8512
79.0,13.2033,5.03403,35.8503
79.5,13.1976,5.03366,35.8494
80.0,13.1925,5.03369,35.8486
80.5,13.1875,5.03362,35.8479
81.0,13.1821,5.03444,35.847
81.5,13.1762,5.03413,35.8461
82.0,13.1696,5.03255,35.845
82.5,13.1611,5.03258,35.8438
83.0,13.1515,5.03336,35.8424
83.5,13.1422,5.03429,35.841
84.0,13.1323,5.03199,35.8396
84.5,13.1238,5.03103,35.8384
85.0,13.1169,5.02908,35.8373
85.5,13.1109,5.02889,35.8364
86.0,13.1049,5.02833,35.8355
86.5,13.099,5.02722,35.8345
87.0,13.0924,5.02706,35.8335
87.5,13.0856,5.02471,35.8325
88.0,13.0791,5.02281,35.8317
88.5,13.0732,5.01816,35.8308
89.0,13.0676,5.01565,35.83
89.5,13.0626,5.01338,35.8292
90.0,13.0582,5.01247,35.8286
90.5,13.0533,5.01251,35.8279
91.0,13.0481,5.01148,35.8272
91.5,13.0421,5.01381,35.8263
92.0,13.0363,5.01237,35.8256
92.5,13.0317,5.01127,35.8249
93.0,13.028,5.0121,35.8243
93.5,13.0248,5.01139,35.8238
94.0,13.0213,5.00993,35.8233
94.5,13.0181,5.0084,35.8228
95.0,13.0153,5.00876,35.8223
95.5,13.0126,5.01053,35.8219
96.0,13.0096,5.01304,35.8215
96.5,13.0063,5.0142,35.821
97.0,13.0029,5.01341,35.8207
97.5,13.0005,5.01223,35.8203
98.0,12.9985,5.00978,35.82
98.5,12.9965,5.01038,35.8198
99.0,12.9946,5.01094,35.8194
99.5,12.9927,5.01199,35.8192
100.0,12.9906,5.01278,35.8189
100.5,12.988,5.01321,35.8186
101.0,12.9853,5.01038,35.8182
101.5,12.9831,5.00716,35.8179
102.0,12.9808,5.00779,35.8175
102.5,12.9783,5.00689,35.8171
103.0,12.9757,5.01006,35.8167
103.5,12.973,5.01314,35.8163
104.0,12.9703,5.01567,35.8159
104.5,12.9675,5.01449,35.8154
105.0,12.9643,5.01151,35.815
105.5,12.9615,5.00495,35.8145
106.0,12.9588,5.0026,35.8141
106.5,12.9563,5.00368,35.8137
107.0,12.9538,5.0071,35.8133
107.5,12.9512,5.01029,35.8128
108.0,12.9479,5.01332,35.8123
108.5,12.9432,5.01553,35.8116
109.0,12.9363,5.01829,35.8107
109.5,12.9296,5.02066,35.8097
110.0,12.9244,5.02087,35.8089
110.5,12.9201,5.01414,35.8083
111.0,12.9167,5.00821,35.8077
111.5,12.9135,5.00461,35.8072
112.0,12.9105,5.00358,35.8067
112.5,12.9076,5.00636,35.8062
113.0,12.9045,5.00955,35.8057
113.5,12.9017,5.00854,35.8052
114.0,12.8989,5.00661,35.8049
114.5,12.8961,5.0059,35.8044
115.0,12.8933,5.00582,35.8041
115.5,12.891,5.00761,35.8037
116.0,12.8886,5.00978,35.8034
116.5,12.8863,5.01119,35.8032
117.0,12.8842,5.01129,35.803
117.5,12.8826,5.00901,35.8028
118.0,12.8814,5.00582,35.8026
118.5,12.8803,5.0073,35.8024
119.0,12.879,5.00898,35.8022
119.5,12.8774,5.01103,35.8019
120.0,12.8754,5.01227,35.8016
120.5,12.8734,5.01166,35.8013
121.0,12.871,5.01178,35.801
121.5,12.8684,5.01134,35.8006
122.0,12.8654,5.01106,35.8002
122.5,12.8621,5.00939,35.7998
123.0,12.8583,5.01017,35.7993
123.5,12.8544,5.00893,35.7986
124.0,12.8507,5.00902,35.7981
124.5,12.8471,5.00914,35.7976
125.0,12.8431,5.01312,35.797
125.5,12.8391,5.01761,35.7964
126.0,12.8351,5.01879,35.7958
126.5,12.8313,5.0172,35.7952
127.0,12.8282,5.01685,35.7947
127.5,12.8255,5.01522,35.7942
128.0,12.823,5.01247,35.7938
128.5,12.8205,5.01061,35.7933
129.0,12.8179,5.00839,35.7929
129.5,12.8149,5.00649,35.7924
130.0,12.8122,5.00529,35.7919
130.5,12.8091,5.00779,35.7914
131.0,12.8057,5.00814,35.791
131.5,12.8027,5.00785,35.7905
132.0,12.7993,5.00585,35.79
132.5,12.7964,5.00596,35.7896
133.0,12.7938,5.00487,35.7892
133.5,12.7913,5.00125,35.7888
134.0,12.7886,4.99956,35.7885
134.5,12.7863,4.99759,35.7882
135.0,12.7838,4.99885,35.7877
135.5,12.7805,4.99846,35.7872
136.0,12.7771,4.99828,35.7867
136.5,12.774,4.99931,35.7863
137.0,12.7707,4.99969,35.7858
137.5,12.767,4.99783,35.7852
138.0,12.7633,4.99619,35.7846
138.5,12.7599,4.99659,35.784
139.0,12.7565,4.99643,35.7835
139.5,12.7526,4.99856,35.7828
140.0,12.747,4.99612,35.782
140.5,12.7404,4.99486,35.7812
141.0,12.7334,4.99947,35.7802
141.5,12.7271,5.00467,35.7793
142.0,12.7226,5.01263,35.7787
142.5,12.7196,5.01334,35.7782
143.0,12.7171,5.01557,35.7778
143.5,12.715,5.01545,35.7774
144.0,12.7128,5.01304,35.777
144.5,12.7106,5.00857,35.7766
145.0,12.7083,5.00291,35.7762
145.5,12.7057,4.99837,35.7757
146.0,12.7029,4.99597,35.7753
146.5,12.7001,4.99647,35.7749
147.0,12.6973,4.99726,35.7745
147.5,12.6944,4.99803,35.774
148.0,12.6911,4.9985,35.7735
148.5,12.6869,4.99592,35.7731
149.0,12.6838,4.99542,35.7727
149.5,12.6818,4.99818,35.7724
150.0,12.6802,5.00201,35.7722
150.5,12.6785,5.00576,35.772
151.0,12.6771,5.00601,35.7717
151.5,12.6758,4.99997,35.7715
152.0,12.6747,4.99325,35.7713
152.5,12.6737,4.98924,35.7711
153.0,12.6726,4.99005,35.7709
153.5,12.6715,4.9887,35.7707
154.0,12.6702,4.99239,35.7705
154.5,12.6688,4.99451,35.7702
155.0,12.6674,4.99504,35.77
155.5,12.6658,4.99713,35.7698
156.0,12.6639,4.99631,35.7695
156.5,12.6618,4.99638,35.7692
157.0,12.6594,4.99645,35.7689
157.5,12.6551,5.00119,35.7684
158.0,12.6494,5.00823,35.7677
158.5,12.6446,5.00423,35.7671
159.0,12.641,4.99589,35.7666
159.5,12.6382,4.99215,35.766
160.0,12.6358,4.99303,35.7656
160.5,12.6334,4.99268,35.7652
161.0,12.6311,4.99426,35.7648
161.5,12.6287,4.99453,35.7644
162.0,12.626,4.98993,35.764
162.5,12.6234,4.98608,35.7636
163.0,12.621,4.98482,35.7633
163.5,12.6191,4.98488,35.7629
164.0,12.6172,4.98864,35.7627
164.5,12.6154,4.98761,35.7625
165.0,12.6143,4.9921,35.7623
165.5,12.6136,4.99373,35.7623
166.0,12.613,4.99128,35.7622
166.5,12.6126,4.99364,35.7621
167.0,12.6121,4.99103,35.762
167.5,12.6116,4.99491,35.7619
168.0,12.6109,4.99719,35.7617
168.5,12.6101,4.9931,35.7616
169.0,12.6093,4.99337,35.7615
169.5,12.6084,4.99585,35.7615
170.0,12.6077,4.99351,35.7613
170.5,12.6069,4.99284,35.7611
171.0,12.6062,4.99354,35.761
171.5,12.6054,4.99363,35.7609
172.0,12.6045,4.99693,35.7607
172.5,12.6034,4.99599,35.7606
173.0,12.6021,4.99779,35.7605
173.5,12.6009,4.99484,35.7604
174.0,12.6001,4.99631,35.7602
174.5,12.5991,4.99928,35.7601
175.0,12.5984,4.99616,35.76
175.5,12.5976,4.99674,35.7599
176.0,12.597,5.00042,35.7598
176.5,12.5965,5.00297,35.7596
177.0,12.596,4.99825,35.7595
177.5,12.5956,4.99684,35.7594
178.0,12.5952,4.99684,35.7593
178.5,12.5948,4.99962,35.7593
179.0,12.5945,4.99904,35.7592
179.5,12.5942,4.99892,35.7591
180.0,12.5938,4.99963,35.7591
180.5,12.5935,5.00075,35.7592
181.0,12.5933,4.99957,35.7592
181.5,12.5931,4.9974,35.7591
182.0,12.593,4.99694,35.7591
182.5,12.5927,4.99627,35.759
183.0,12.5925,4.99929,35.7589
183.5,12.5921,5.00051,35.7589
184.0,12.5916,5.00073,35.7588
184.5,12.5912,5.00161,35.7587
185.0,12.5906,5.00284,35.7587
185.5,12.5902,5.00141,35.7585
186.0,12.5897,4.99846,35.7584
186.5,12.5892,4.99937,35.7582
187.0,12.5886,5.00051,35.7581
187.5,12.5877,5.00121,35.758
188.0,12.5865,5.00054,35.7578
188.5,12.5846,5.00393,35.7576
189.0,12.5823,5.00178,35.7574
189.5,12.5803,4.99815,35.7571
190.0,12.5785,4.99326,35.7568
190.5,12.5769,4.99286,35.7565
191.0,12.5753,4.99329,35.7561
191.5,12.5736,4.99223,35.7558
192.0,12.5719,4.99439,35.7555
192.5,12.5698,4.99625,35.7552
193.0,12.5674,4.99979,35.7548
193.5,12.5651,4.99352,35.7545
194.0,12.5631,4.98422,35.7541
194.5,12.5613,4.97933,35.7538
195.0,12.5598,4.97849,35.7535
195.5,12.5582,4.97887,35.7533
196.0,12.5564,4.97915,35.753
196.5,12.5543,4.98243,35.7527
197.0,12.5522,4.98444,35.7526
197.5,12.5501,4.984,35.7523
198.0,12.5483,4.98674,35.7521
198.5,12.5464,4.98944,35.7519
199.0,12.5446,4.98982,35.7516
199.5,12.5425,4.99222,35.7513
200.0,12.5402,4.99323,35.751
200.5,12.5377,4.99559,35.7507
201.0,12.535,4.99718,35.7503
201.5,12.5327,4.99709,35.7499
202.0,12.53,4.9954,35.7495
202.5,12.5269,4.99386,35.7491
203.0,12.5238,4.99176,35.7487
203.5,12.5206,4.9899,35.7483
204.0,12.5175,4.98838,35.7478
204.5,12.5135,4.9887,35.7474
205.0,12.5093,4.98582,35.7469
205.5,12.5054,4.98407,35.7464
206.0,12.502,4.98474,35.746
206.5,12.4995,4.98695,35.7457
207.0,12.4972,4.98954,35.7454
207.5,12.4954,4.98831,35.745
208.0,12.4938,4.99032,35.7448
208.5,12.492,4.98909,35.7445
209.0,12.4903,4.98431,35.7443
209.5,12.4886,4.9838,35.744
210.0,12.4867,4.98271,35.7437
210.5,12.4845,4.98463,35.7434
211.0,12.4824,4.98348,35.743
211.5,12.48,4.98197,35.7427
212.0,12.4774,4.98129,35.7424
212.5,12.4749,4.98079,35.7421
213.0,12.4726,4.98062,35.7418
213.5,12.4704,4.98323,35.7416
214.0,12.4682,4.98673,35.7413
214.5,12.4658,4.98911,35.7409
215.0,12.4633,4.99049,35.7406
215.5,12.4608,4.98981,35.7403
216.0,12.4587,4.98803,35.7399
216.5,12.4566,4.98613,35.7396
217.0,12.4546,4.98109,35.7393
217.5,12.4526,4.97626,35.739
218.0,12.4507,4.97266,35.7386
218.5,12.4486,4.96961,35.7383
219.0,12.4458,4.96728,35.738
219.5,12.4424,4.96522,35.7377
220.0,12.4395,4.9615,35.7373
220.5,12.4376,4.95958,35.7371
221.0,12.4362,4.95636,35.737
221.5,12.4351,4.95806,35.7368
222.0,12.434,4.9562,35.7366
222.5,12.4328,4.95249,35.7365
223.0,12.4317,4.95225,35.7363
223.5,12.4305,4.95251,35.7362
224.0,12.4292,4.95185,35.736
224.5,12.4278,4.9475,35.7358
225.0,12.4262,4.94243,35.7355
225.5,12.4244,4.93751,35.7353
226.0,12.4225,4.93299,35.735
226.5,12.4206,4.93044,35.7348
227.0,12.4187,4.93016,35.7345
227.5,12.417,4.93076,35.7343
228.0,12.415,4.92832,35.734
228.5,12.4129,4.92487,35.7337
229.0,12.4111,4.92398,35.7335
229.5,12.4097,4.92572,35.7333
230.0,12.4084,4.92811,35.733
230.5,12.4073,4.93353,35.7328
231.0,12.4063,4.93755,35.7326
231.5,12.4054,4.9417,35.7325
232.0,12.4044,4.94399,35.7324
232.5,12.4033,4.9467,35.7322
233.0,12.402,4.95129,35.7321
233.5,12.4008,4.95409,35.732
234.0,12.3993,4.95504,35.7318
234.5,12.3979,4.95447,35.7316
235.0,12.3967,4.95141,35.7315
235.5,12.3955,4.94742,35.7313
236.0,12.3941,4.94349,35.7311
236.5,12.3929,4.9423,35.731
237.0,12.3916,4.94071,35.7308
237.5,12.3902,4.93706,35.7306
238.0,12.3888,4.93479,35.7304
238.5,12.3874,4.93384,35.7302
239.0,12.386,4.93128,35.7299
239.5,12.3845,4.93279,35.7297
240.0,12.383,4.93169,35.7295
240.5,12.3812,4.92997,35.7292
241.0,12.3791,4.92783,35.729
241.5,12.3766,4.9204,35.7287
242.0,12.3741,4.91432,35.7284
242.5,12.3717,4.9096,35.728
243.0,12.3689,4.90453,35.7276
243.5,12.3647,4.8968,35.727
244.0,12.3597,4.89607,35.7264
244.5,12.3545,4.89811,35.7257
245.0,12.3491,4.90056,35.7249
245.5,12.3435,4.90143,35.7241
246.0,12.3388,4.89625,35.7234
246.5,12.334,4.89484,35.7227
247.0,12.329,4.8972,35.722
247.5,12.3241,4.89847,35.7213
248.0,12.3195,4.90082,35.7205
248.5,12.3149,4.904,35.7198
249.0,12.3096,4.9094,35.719
249.5,12.3041,4.91688,35.7183
250.0,12.2979,4.91993,35.7174
250.5,12.2915,4.92491,35.7166
251.0,12.2861,4.92979,35.716
251.5,12.2822,4.93093,35.7155
252.0,12.2794,4.93224,35.7151
252.5,12.2771,4.93601,35.7148
253.0,12.2748,4.94014,35.7145
253.5,12.2725,4.94247,35.7141
254.0,12.2702,4.94405,35.7137
254.5,12.2673,4.94518,35.7134
255.0,12.2643,4.94974,35.713
255.5,12.2612,4.95234,35.7126
256.0,12.2583,4.95526,35.7121
256.5,12.2554,4.95572,35.7117
257.0,12.2521,4.95417,35.7113
257.5,12.2488,4.95015,35.7108
258.0,12.2455,4.94647,35.7103
258.5,12.2429,4.94629,35.7099
259.0,12.2405,4.94482,35.7095
259.5,12.2379,4.94749,35.7091
260.0,12.2346,4.95205,35.7087
260.5,12.2316,4.95157,35.7083
261.0,12.2288,4.94798,35.708
261.5,12.2268,4.94628,35.7078
262.0,12.2251,4.94765,35.7074
262.5,12.2233,4.95174,35.7071
263.0,12.2217,4.95189,35.7069
263.5,12.2197,4.95177,35.7066
264.0,12.2174,4.95307,35.7063
264.5,12.215,4.95368,35.7061
265.0,12.2124,4.95381,35.7059
265.5,12.2096,4.949,35.7056
266.0,12.2071,4.94602,35.7054
266.5,12.2043,4.94834,35.7051
267.0,12.2009,4.95024,35.7048
267.5,12.1971,4.95472,35.7045
268.0,12.1933,4.95903,35.7042
268.5,12.1893,4.96414,35.7039
269.0,12.1856,4.96532,35.7036
269.5,12.1821,4.96995,35.7033
270.0,12.1787,4.97352,35.703
270.5,12.1756,4.97861,35.7027
271.0,12.1728,4.98057,35.7024
271.5,12.17,4.97876,35.7021
272.0,12.1676,4.9734,35.7018
272.5,12.1658,4.97115,35.7016
273.0,12.1645,4.9704,35.7013
273.5,12.1631,4.97345,35.7012
274.0,12.162,4.97458,35.701
274.5,12.161,4.9792,35.7009
275.0,12.1602,4.98124,35.7009
275.5,12.1596,4.98164,35.7008
276.0,12.159,4.98113,35.7007
276.5,12.1586,4.97774,35.7006
277.0,12.1581,4.97845,35.7005
277.5,12.1576,4.97665,35.7004
278.0,12.1569,4.97786,35.7003
278.5,12.1563,4.97975,35.7002
279.0,12.1557,4.98165,35.7002
279.5,12.1551,4.97937,35.7001
280.0,12.1546,4.97834,35.7
280.5,12.1542,4.97456,35.6999
281.0,12.1535,4.97112,35.6998
281.5,12.1524,4.96929,35.6996
282.0,12.1506,4.97057,35.6993
282.5,12.1483,4.97464,35.6989
283.0,12.1455,4.97663,35.6984
283.5,12.1422,4.97564,35.6978
284.0,12.1383,4.97189,35.6972
284.5,12.1346,4.96705,35.6965
285.0,12.1306,4.96636,35.6957
285.5,12.1261,4.9634,35.6949
286.0,12.121,4.95852,35.694
286.5,12.1149,4.95336,35.693
287.0,12.1066,4.9451,35.6916
287.5,12.0987,4.93161,35.6903
288.0,12.0909,4.91851,35.689
288.5,12.0826,4.90905,35.6877
289.0,12.074,4.89999,35.6863
289.5,12.0643,4.89474,35.6849
290.0,12.0539,4.89069,35.6833
290.5,12.0467,4.88716,35.6823
291.0,12.0409,4.8839,35.6813
291.5,12.0373,4.87766,35.6807
292.0,12.0341,4.87315,35.6803
292.5,12.0314,4.86722,35.6798
293.0,12.0287,4.86198,35.6794
293.5,12.0262,4.85915,35.679
294.0,12.0236,4.85682,35.6787
294.5,12.021,4.8536,35.6783
295.0,12.0189,4.8511,35.6781
295.5,12.0168,4.85167,35.6778
296.0,12.0144,4.8532,35.6775
